Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5RDOu6RgvyFqQ114upVhxo,"0IyYqt0ZL4uXTrG7p3KWG8,5kkFw07ESYUwB81nlXlq6J",River,Cherry Blossoms,"mattgnaw,Wra?th",11/11/2022,158690,0,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T12:08:30Z,singaporean hip hop,0.771,0.475,3,-9.947,0,0.0292,0.444,0.0942,0.119,0.528,89.994,4
3KT8HDudsuyjWZVQXXHr8h,"0IyYqt0ZL4uXTrG7p3KWG8,3F4VHRnpCY0UVtcmtvNuzV",Rafflesia,Cherry Blossoms,"mattgnaw,boyanscumbag",11/11/2022,146791,0,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T12:08:30Z,singaporean hip hop,0.6,0.79,9,-9.073,1,0.0943,0.415,0.00019,0.0241,0.961,179.93,4
3IBOU2EO1PNwa8GajjGv6e,0IyYqt0ZL4uXTrG7p3KWG8,Blossom,Cherry Blossoms,mattgnaw,11/11/2022,231016,0,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T12:08:30Z,singaporean hip hop,0.342,0.407,11,-13.045,0,0.0337,0.857,0.898,0.387,0.173,107.947,4
2o6wDcKMYj8wVmQYJRPa1F,"0IyYqt0ZL4uXTrG7p3KWG8,588Ho9n5DcHnpVdNDvQhah",Everything About Her,Cherry Blossoms,"mattgnaw,Lowkeii",11/11/2022,329998,0,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T12:08:30Z,singaporean hip hop,0.473,0.547,11,-10.862,1,0.0305,0.8,0.0359,0.0989,0.172,129.649,4
2UVkGwAWpg6pip34T9441H,"6ceJzlJgsznSUGtO7V4dVa,4vQImXwkGScLSMJGLdFaXx",Myself To Blame,Myself To Blame,"MEDS,Elaine",4/6/2021,197562,4,spotify:user:lqajbhk923vkq8v464wumf1yb,2024-07-01T13:15:16Z,,0.661,0.356,1,-14.519,0,0.0756,0.596,0.0000334,0.807,0.301,180.008,4
1kUzQxiMTvb9hJaQCUmB8p,3fQXgrpZKe7JO72yMTXo0R,zanh,zanh,m1sty as1oth,7/1/2022,147623,0,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T11:59:48Z,,0.701,0.554,7,-7.402,0,0.0718,0.284,0.00514,0.0665,0.555,96.883,4
1wciXtmIdw8aCNMK0q68vI,3fQXgrpZKe7JO72yMTXo0R,Takagi,Takagi,m1sty as1oth,3/6/2022,352881,3,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T11:59:54Z,,0.384,0.447,7,-12.011,1,0.0338,0.0472,0.24,0.0587,0.14,123.13,4
6U6vWlwcVN4yjTxPw0M0UX,"4GnFg9D7Ds99UI0r5t9PZK,2gj35CRyiuvuJ5VzjkX52i",Spring at the Bottom of the Dam feat.Sobs,HANAYODO -flower and dust-,"Natsuko Nisshoku,Sobs",5/4/2023,198616,4,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T12:14:05Z,"japanese singer-songwriter,bubblegrunge,singaporean indie",0.663,0.706,6,-4.845,1,0.0277,0.0258,0,0.16,0.663,115.975,4
2tPyatN5Nn7A5imPt0FBwq,2vP1mdU9hz6n79HN8ZWIJj,Do You Remember,Do You Remember,Oddshore,1/4/2018,216444,1,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-30T06:27:57Z,singaporean indie,0.601,0.398,2,-15.333,1,0.0273,0.0148,0.274,0.134,0.721,135.044,4
40mBL2Mz9S77s6fihN8a1b,3FUdI1f4fxFs8SlXUArAnv,Save This,Save This,Pebble,1/1/2022,162565,0,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:41:03Z,,0.313,0.798,0,-7.315,1,0.0424,0.281,0.000111,0.304,0.311,164.017,4
